root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers;tempBuffers;workMem;revision;performance;energy
1;0;1;1;0;1;256;32;256;8.3.0;46169.800000;1468.000000
1;0;1;1;0;1;64;2;1024;8.3.0;46614.400000;1476.200000
1;0;1;1;0;1;128;2;1024;8.3.0;46282.600000;1493.200000
1;0;1;1;0;1;256;2;1024;8.3.0;46256.800000;1486.400000
1;0;1;1;0;1;64;8;1024;8.3.0;46293.600000;1458.000000
1;0;1;1;0;1;128;8;1024;8.3.0;46188.800000;1471.800000
1;0;1;1;0;1;256;8;1024;8.3.0;46398.400000;1463.200000
1;0;1;1;0;1;64;32;1024;8.3.0;46469.600000;1494.000000
1;0;1;1;0;1;128;32;1024;8.3.0;46436.800000;1491.800000
1;0;1;1;0;1;256;32;1024;8.3.0;46493.800000;1515.000000
1;0;1;1;0;1;64;2;4096;8.3.0;46299.400000;1507.000000
